YESTERDAY       TODAY           TOMORROW

12/30/1899      12/31/1899      01/01/1900
12/31/1999      01/01/2000      01/02/2000
01/30/1987      01/31/1987      02/01/1987
01/31/2000      02/01/2000      02/02/2000
02/27/1987      02/28/1987      03/01/1987
02/29/2000      03/01/2000      03/02/2000
03/30/1988      03/31/1988      04/01/1988
03/31/2000      04/01/2000      04/02/2000
04/29/1988      04/30/1988      05/01/1988
04/30/2000      05/01/2000      05/02/2000
05/30/1999      05/31/1999      06/01/1999
05/31/2000      06/01/2000      06/02/2000
06/29/1989      06/30/1989      07/01/1989
06/30/2000      07/01/2000      07/02/2000
07/30/1992      07/31/1992      08/01/1992
07/31/2000      08/01/2000      08/02/2000
08/30/1992      08/31/1992      09/01/1992
08/31/2000      09/01/2000      09/02/2000
09/29/1996      09/30/1996      10/01/1996
09/30/2000      10/01/2000      10/02/2000
10/30/1996      10/31/1996      11/01/1996
10/31/2000      11/01/2000      11/02/2000
11/29/1997      11/30/1997      12/01/1997
11/30/2000      12/01/2000      12/02/2000
12/30/1997      12/31/1997      01/01/1998
12/31/1899      01/01/1900      01/02/1900
12/30/1999      12/31/1999      01/01/2000
02/27/1900      02/28/1900      03/01/1900
02/28/1900      03/01/1900      03/02/1900
02/27/1904      02/28/1904      02/29/1904
02/28/1904      02/29/1904      03/01/1904
02/29/1904      03/01/1904      03/02/1904
02/27/1988      02/28/1988      02/29/1988
02/28/1988      02/29/1988      03/01/1988
02/29/1988      03/01/1988      03/02/1988
02/27/1990      02/28/1990      03/01/1990
02/28/1990      03/01/1990      03/02/1990
02/27/2000      02/28/2000      02/29/2000
02/28/2000      02/29/2000      03/01/2000
02/29/2000      03/01/2000      03/02/2000
02/27/2006      02/28/2006      03/01/2006
02/28/2006      03/01/2006      03/02/2006
02/27/2012      02/28/2012      02/29/2012
02/28/2012      02/29/2012      03/01/2012
02/29/2012      03/01/2012      03/02/2012
02/27/2100      02/28/2100      03/01/2100
02/28/2100      03/01/2100      03/02/2100
02/27/2400      02/28/2400      02/29/2400
02/28/2400      02/29/2400      03/01/2400
02/29/2400      03/01/2400      03/02/2400
Press any key to continue
