1/1/1996     1/1/96            0
1/2/1996     1/1/1996          1
1/2/1995     1/1/1996       -364
2/1/1996     1/1/1996         31
2/1/95       1/1/1996       -334
3/1/1996     1/1/1996         60
3/1/1995     1/1/1996       -306
12/31/1996     1/1/1996        365
12/31/1995     1/1/1996         -1
1/1/1997     1/1/1996        366
1/1/1994     1/1/1996       -730
3/1/1997     1/1/1996        425
3/1/1994     1/1/1996       -671
6/15/1997     1/1/1996        531
6/15/1994     1/1/1996       -565
9/20/1999      1/1/1996       1358
9/20/1993      1/1/1996       -833
1/1/2000     1/1/1996       1461
1/1/1990     1/1/1996      -2191
4/21/2000     1/1/1996       1572
4/21/90       1/1/1996      -2081
12/31/2400     1/1/1996     147923
12/31/1601     1/1/1996    -143906
1/1/1900       1/1/0          0
12/31/2400     1/1/1601     292193
1/1/2000     12/31/1899      36525
1/1/2000     12/31/2400    -146462
7/1/2049     1/1/1900      54603
7/1/1750     1/1/1900     -54605
1/1/1601     12/31/2100    -182620
