 DATE 1         DATE 2       DIFFERENCE

01/01/1996     01/01/1996           0
01/02/1996     01/01/1996           1
01/02/1995     01/01/1996        -364
02/01/1996     01/01/1996          31
02/01/1995     01/01/1996        -334
03/01/1996     01/01/1996          60
03/01/1995     01/01/1996        -306
12/31/1996     01/01/1996         365
12/31/1995     01/01/1996          -1
01/01/1997     01/01/1996         366
01/01/1994     01/01/1996        -730
03/01/1997     01/01/1996         425
03/01/1994     01/01/1996        -671
06/15/1997     01/01/1996         531
06/15/1994     01/01/1996        -565
09/20/1999     01/01/1996        1358
09/20/1993     01/01/1996        -833
01/01/2000     01/01/1996        1461
01/01/1990     01/01/1996       -2191
04/21/2000     01/01/1996        1572
04/21/1990     01/01/1996       -2081
12/31/2400     01/01/1996      147923
12/31/1601     01/01/1996     -143906
01/01/1900     01/01/1900           0
12/31/2400     01/01/1601      292193
01/01/2000     12/31/1899       36525
01/01/2000     12/31/2400     -146462
07/01/2049     01/01/1900       54603
07/01/1750     01/01/1900      -54605
01/01/1601     12/31/2100     -182620
12/31/1899     01/01/1900          -1
03/01/1900     02/28/1900           1
10/31/1999     10/30/1999           1
02/29/2000     02/28/2000           1
07/01/1995     06/30/1995           1
